,Date,Close,Open,High,Low,Volume,Change
163,2014-05-26,2.59,2.55,2.59,2.55,11000.0,-0.02264150943396226
164,2014-05-27,2.65,2.58,2.65,2.57,332200.0,0.0
165,2014-05-28,2.65,2.65,2.66,2.64,568400.0,-0.011194029850746356
166,2014-05-29,2.68,2.65,2.72,2.64,535700.0,-0.01831501831501825
167,2014-05-30,2.73,2.7,2.75,2.68,369700.0,-0.010869565217391242
168,2014-06-02,2.76,2.74,2.76,2.69,673800.0,-0.03157894736842115
169,2014-06-03,2.85,2.76,2.86,2.76,910200.0,0.007067137809187329
170,2014-06-04,2.83,2.85,2.86,2.82,596000.0,0.014336917562723928
171,2014-06-05,2.79,2.83,2.83,2.79,682300.0,-0.0035714285714284477
172,2014-06-06,2.8,2.79,2.8,2.78,163000.0,-0.034482758620689724
173,2014-06-09,2.9,2.75,2.91,2.75,1090000.0,-0.023569023569023684
174,2014-06-10,2.97,2.9,2.98,2.9,922700.0,-0.01980198019801971
175,2014-06-11,3.03,2.97,3.05,2.96,635300.0,0.006644518272425293
176,2014-06-12,3.01,3.0,3.01,2.99,706200.0,0.010067114093959662
177,2014-06-13,2.98,2.99,2.99,2.98,10000.0,-0.00666666666666671
178,2014-06-16,3.0,2.99,3.04,2.99,196900.0,-0.019607843137254943
179,2014-06-17,3.06,3.01,3.07,3.0,634600.0,-0.012903225806451646
180,2014-06-18,3.1,3.06,3.11,3.06,868500.0,-0.01273885350318471
181,2014-06-19,3.14,3.1,3.16,3.1,555000.0,0.012903225806451646
182,2014-06-20,3.1,3.12,3.12,3.08,475700.0,0.0
183,2014-06-23,3.1,3.1,3.11,3.1,889400.0,0.0
184,2014-06-24,3.1,3.1,3.12,3.05,178700.0,-0.0064102564102563875
185,2014-06-25,3.12,3.1,3.12,3.1,895400.0,0.009708737864077666
186,2014-06-26,3.09,3.12,3.12,3.09,389300.0,0.0032467532467532756
187,2014-06-27,3.08,3.09,3.09,3.08,89600.0,0.0032573289902280145
188,2014-06-30,3.07,3.07,3.07,3.06,150800.0,0.006557377049180246
189,2014-07-01,3.05,3.06,3.07,3.04,610700.0,0.0
190,2014-07-02,3.05,3.04,3.05,3.04,247000.0,0.009933774834437026
191,2014-07-03,3.02,3.03,3.03,3.01,9000.0,0.0
192,2014-07-04,3.02,3.02,3.06,3.02,93900.0,0.0033222591362127574
193,2014-07-07,3.01,3.05,3.05,3.0,196300.0,0.006688963210702115
194,2014-07-08,2.99,3.0,3.02,2.99,94200.0,0.003355704697986628
195,2014-07-09,2.98,2.99,3.0,2.98,132800.0,0.020547945205479534
196,2014-07-10,2.92,2.97,2.97,2.87,133000.0,0.01388888888888884
197,2014-07-11,2.88,2.91,2.92,2.8,67100.0,-0.006896551724137945
198,2014-07-14,2.9,2.88,2.9,2.85,33500.0,0.0034602076124565784
199,2014-07-16,2.89,2.9,2.9,2.81,34400.0,-0.013651877133105783
200,2014-07-17,2.93,2.89,2.93,2.89,569300.0,-0.010135135135135087
201,2014-07-18,2.96,2.92,2.98,2.92,164000.0,-0.04516129032258065
202,2014-07-21,3.1,2.98,3.12,2.98,1190000.0,0.003236245954692629
203,2014-07-22,3.09,3.11,3.11,3.08,1580000.0,-0.003225806451612967
204,2014-07-23,3.1,3.1,3.1,3.09,296000.0,0.0
205,2014-07-24,3.1,3.09,3.11,3.08,530400.0,0.0
206,2014-07-25,3.1,3.1,3.1,3.09,163500.0,0.006493506493506551
207,2014-07-30,3.08,3.09,3.09,3.06,103000.0,0.0032573289902280145
208,2014-07-31,3.07,3.06,3.08,3.05,144000.0,0.013201320132013139
209,2014-08-01,3.03,3.06,3.06,3.03,133800.0,0.006644518272425293
210,2014-08-04,3.01,3.04,3.04,3.01,28800.0,0.006688963210702115
211,2014-08-05,2.99,3.01,3.01,2.99,52000.0,0.020477815699658786
212,2014-08-06,2.93,2.98,2.98,2.93,47000.0,0.0034246575342467
213,2014-08-07,2.92,2.92,2.92,2.92,100.0,0.0
214,2014-08-08,2.92,2.93,2.93,2.91,30500.0,0.0034364261168384758
215,2014-08-11,2.91,2.93,2.93,2.89,138600.0,-0.010204081632652962
216,2014-08-12,2.94,2.89,2.94,2.89,72900.0,0.0
217,2014-08-13,2.94,2.94,2.94,2.93,52500.0,-0.003389830508474634
218,2014-08-14,2.95,2.94,2.96,2.94,46400.0,0.017241379310344973
219,2014-08-15,2.9,2.9,2.9,2.89,76600.0,0.0034602076124565784
220,2014-08-18,2.89,2.9,2.9,2.88,53500.0,0.003472222222222321
221,2014-08-19,2.88,2.88,2.88,2.88,9300.0,0.006993006993007089
222,2014-08-20,2.86,2.88,2.89,2.86,48700.0,0.0
223,2014-08-21,2.86,2.86,2.86,2.84,53600.0,0.0035087719298245723
224,2014-08-22,2.85,2.83,2.86,2.81,49500.0,-0.01041666666666663
225,2014-08-26,2.88,2.85,2.88,2.85,27000.0,0.010526315789473717
226,2014-08-27,2.85,2.89,2.89,2.85,17000.0,0.0035211267605634866
227,2014-08-28,2.84,2.86,2.86,2.84,99000.0,-0.0035087719298246833
228,2014-08-29,2.85,2.85,2.85,2.85,46000.0,0.0035211267605634866
229,2014-09-02,2.84,2.84,2.85,2.84,22900.0,0.0
230,2014-09-03,2.84,2.85,2.85,2.84,31000.0,0.0
231,2014-09-04,2.84,2.84,2.84,2.83,20000.0,0.0035335689045936647
232,2014-09-05,2.83,2.84,2.84,2.81,47500.0,0.0
233,2014-09-08,2.83,2.8,2.83,2.79,60300.0,0.010714285714285898
234,2014-09-09,2.8,2.8,2.8,2.79,71000.0,0.010830324909747224
235,2014-09-10,2.77,2.8,2.8,2.77,97100.0,-0.010714285714285676
236,2014-09-11,2.8,2.78,2.8,2.78,45000.0,0.0
237,2014-09-12,2.8,2.82,2.82,2.8,13400.0,0.0
238,2014-09-15,2.8,2.8,2.8,2.79,162200.0,0.0035842293906809264
239,2014-09-17,2.79,2.81,2.81,2.79,71000.0,0.0
240,2014-09-18,2.79,2.79,2.79,2.79,24100.0,0.0
241,2014-09-19,2.79,2.8,2.82,2.79,19000.0,-0.0035714285714284477
242,2014-09-22,2.8,2.8,2.8,2.8,20000.0,-0.003558718861210064
243,2014-09-23,2.81,2.82,2.82,2.8,39400.0,-0.007067137809187329
244,2014-09-24,2.83,2.81,2.83,2.81,14100.0,0.0035460992907803135
245,2014-09-25,2.82,2.83,2.83,2.82,20000.0,0.0
246,2014-09-26,2.82,2.82,2.82,2.82,9800.0,0.0071428571428571175
247,2014-09-29,2.8,2.82,2.82,2.8,37200.0,-0.010600706713780994
248,2014-09-30,2.83,2.83,2.83,2.83,9000.0,-0.04391891891891886
249,2014-10-01,2.96,2.84,2.96,2.84,47600.0,0.03135888501742157
250,2014-10-03,2.87,2.87,2.88,2.85,77000.0,0.028673835125448077
251,2014-10-07,2.79,2.82,2.82,2.79,31000.0,-0.014134275618374548
252,2014-10-08,2.83,2.78,2.83,2.75,9600.0,0.0
